No.,職業,ルート,ステータス,モンスター1,モンスター2,モンスター3,モンスター4,モンスター5,モンスター6,モンスター7,モンスター8,モンスター9,モンスター10,モンスター11,モンスター12,モンスター13,モンスター14,モンスター15,モンスター16,モンスター17,モンスター18,モンスター19
112,天地雷鳴士,地道ルート③（Lv.20以上）,"ブレスダメージ+1%
さいだいMP+15
すばやさ+10【まもマス】練度2以上で+10
きようさ+10",メタルライダー,サイレス,かじゅうナイト,,,,,,,,,,,,,,,,
113,天地雷鳴士,天道ルート④（Lv.30以上＆ダーマ試練）,"こうげき魔力+10
デイン属性じゅもんダメージ+3%
ヒャド属性じゅもんダメージ+3%
さいだいMP+15",アンドレアル,まなつのせんし,,,,,,,,,,,,,,,,,
114,天地雷鳴士,地道ルート④（Lv.30以上＆ダーマ試練）,"きようさ+10
ギラ属性ブレスダメージ+3%
ドルマ属性ブレスダメージ+3%
さいだいHP+15",ゆきのじょおう,ようがんげんじん,,,,,,,,,,,,,,,,,
115,天地雷鳴士,天道ルート⑤（Lv.40以上）,"カカロンの加護[反復]の発動率+10%
きようさ+10【レンジャ】練度4以上で+10
カカロンの加護[反復]の発動率+5%
さいだいHP+10",妖魔ゲモン,じげんりゅう,じげんりゅう(覚醒),,,,,,,,,,,,,,,,
116,天地雷鳴士,地道ルート⑤（Lv.40以上）,"バルバルーの加護[収束]の発動率+10%
こうげき魔力+10【レンジャ】練度4以上で+10
バルバルーの加護[収束]の発動率+5%
さいだいMP+10",ちょうろうじゅ,ゲルニック将軍,,,,,,,,,,,,,,,,,
117,天地雷鳴士,天道ルート⑥（Lv.50以上）,"ドメディの刻印[奪取]の発動率+6%
こうげき魔力+10【レンジャ】練度6以上で+15
ドメディの刻印[奪取]の発動率+4%
みのまもり+10
",ひくいどり,,,,,,,,,,,,,,,,,,
118,天地雷鳴士,地道ルート⑥（Lv.50以上）,"クシャラミの刻印[共有]の発動率+6%
きようさ+10【レンジャ】練度6以上で+15
クシャラミの刻印[共有]の発動率+4%
すばやさ+10",ドラゴン・ウー,,,,,,,,,,,,,,,,,,
119,天地雷鳴士,天道ルート⑦（Lv.60以上＆ダーマ試練）,"さいだいHP+15
じゅもんダメージ+1%
さいだいMP+10【賢者】練度8以上で+10
全属性耐性+1%
",ナウマンボーグ,ビックアイ,はつゆめポーン,,,,,,,,,,,,,,,,
120,天地雷鳴士,地道ルート⑦（Lv.60以上＆ダーマ試練）,"さいだいMP+15
ブレスダメージ+1%
さいだいHP+10【まもマス】練度8以上で+10
すべての状態異常耐性+1%",怪蟲アラグネ,怪蟲アラグネ(覚醒),,,,,,,,,,,,,,,,,
121,天地雷鳴士,天道ルート⑧（Lv.70以上）,"じゅもんダメージ+1%
すばやさ+10
みのまもり+10
戦闘終了時にMPを1回復する
",とげこんぼう,,,,,,,,,,,,,,,,,,
122,天地雷鳴士,地道ルート⑧（Lv.70以上）,"ブレスダメージ+1%
みのまもり+10
すばやさ+10
戦闘終了時にMPを1回復する",アルケミストン,,,,,,,,,,,,,,,,,,
123,天地雷鳴士,天道ルート⑨（Lv.80以上）,"こうげき魔力+10
じゅもんダメージ+1%
すべての状態異常耐性+1%
さいだいHP+15",まだらイチョウ,,,,,,,,,,,,,,,,,,
124,天地雷鳴士,地道ルート⑨（Lv.80以上）,"きようさ+10
ブレスダメージ+1%
全属性耐性+1%
さいだいMP+15",バッファロン,,,,,,,,,,,,,,,,,,
125,天地雷鳴士,天道ルート⑩（Lv.90以上）,"じゅもんダメージ+1%
さいだいHP+10
こうげき魔力+10【レンジャ】練度9以上で+10
みのまもり+10",マッドファルコン,,,,,,,,,,,,,,,,,,
126,天地雷鳴士,地道ルート⑩（Lv.90以上）,"ブレスダメージ+1%
さいだいMP+15
きようさ+10【レンジャ】練度9以上で+10
すばやさ+10",いどまじん,,,,,,,,,,,,,,,,,,
127,魔人,最初の道（Lv.1以上）,"ちから+15
さいだいMP+10
さいだいHP+15
みのまもり+10",かっちゅうアリ,,,,,,,,,,,,,,,,,,
128,魔人,超人道ルート①（Lv.5以上）,"		
根絶やしマインドの発生率+20%
きようさ+15
すばやさ+10
さいだいHP+15",おばけトマト,,,,,,,,,,,,,,,,,,
129,魔人,超魔道ルート①（Lv.5以上）,"根絶やしマインドの系統倍率+60%
すばやさ+10
みのまもり+10
さいだいMP+10",グリゴンダンス,,,,,,,,,,,,,,,,,,
130,魔人,超人道ルート②（Lv.10以上）,"ふおんなひとみ
攻撃減耐性+5%
ちから+15
みかわし率+1%",ヘルバオム,,,,,,,,,,,,,,,,,,
131,魔人,超魔道ルート②（Lv.10以上）,"すてみ
守備減耐性+5%
ちから+15
みのまもり+10",ガニラス,,,,,,,,,,,,,,,,,,
132,魔人,超人道ルート③（Lv.20以上）,"悪い状態変化耐性-15%
痛恨の一撃の会心ダメージ倍率+15%
ちから+15【バトマス】練度2以上で+10
会心率+2%",ダークペルシャ,,,,,,,,,,,,,,,,,,
133,魔人,超魔道ルート③（Lv.20以上）,"すべての状態異常耐性-10%
痛恨の一撃の会心ダメージ倍率+25%
ちから+15【まもマス】練度2以上で+10
スキルの斬撃・体技ダメージ+1%",つむりんママ,,,,,,,,,,,,,,,,,,
134,魔人,超人道ルート④（Lv.30以上＆ダーマ試練）,"会心のひらめき
さいだいMP+10
ガード率+1%
みのまもり+10",暗黒皇帝ガナサダイ,地獄の帝王エスターク(覚醒),,,,,,,,,,,,,,,,,
135,魔人,超魔道ルート④（Lv.30以上＆ダーマ試練）,"根絶やし
さいだいHP+15
みのまもり+10
すばやさ+10",破壊神シドー,,,,,,,,,,,,,,,,,,
136,魔人,超人道ルート⑤（Lv.40以上）,"悪い状態変化耐性-8%
痛恨の一撃の会心ダメージ+15%
さいだいHP+15【バトマス】練度4以上で+10
会心率+2%",グレイナル,デュランダル,エビルプラント,,,,,,,,,,,,,,,,
137,魔人,超魔道ルート⑤（Lv.40以上）,"すべての状態変化耐性-5%
痛恨の一撃の会心ダメージ倍率+25%
さいだいMP+10【まもマス】練度4以上で+10
スキルの斬撃・体技ダメージ+1%",オーシャンボーン,,,,,,,,,,,,,,,,,,
138,魔人,超人道ルート⑥（Lv.50以上）,"根絶やしマインドの発生率+20%
ちから+15【バトマス】練度6以上で+10
すばやさ+10
みのまもり+10",闇を纏う剣士,,,,,,,,,,,,,,,,,,
139,魔人,超魔道ルート⑥（Lv.50以上）,"根絶やしマインドの系統ダメージ倍率+60%
ちから+15【まもマス】練度6以上で+10
みのまもり+10
きようさ+15",デュラン,あかおにまる,カースビエル,キラーデーモン,,,,,,,,,,,,,,,
140,魔人,超人道ルート⑦（Lv.60以上＆ダーマ試練）,"悪い状態変化耐性-7%
さいだいHP+15
会心率+1%【バトマス】練度8以上で+1%
自分が受けるスキル・どうぐのHP回復効果+1%",バルザックビースト,魔犬レオパルド,,,,,,,,,,,,,,,,,
141,魔人,超魔道ルート⑦（Lv.60以上＆ダーマ試練）,"すべての状態異常耐性-5%
みのまもり+10
スキルの斬撃・体技ダメージ+1%【まもマス】練度8以上で+1%
全属性耐性+1%",ラーミア,メタルスコーピオン,親分とげこんぼう,ダークトロル,闇の覇者蒼き竜王,炎の巨人,,,,,,,,,,,,,
142,魔人,超人道ルート⑧（Lv.70以上）,"すばやさ+10
ちから+15
ガード率+1%
攻撃減耐性+5%",あくま神官,,,,,,,,,,,,,,,,,,
143,魔人,超魔道ルート⑧（Lv.70以上）,"さいだいMP+10
ちから+15
みのまもり+10
守備減耐性+5%",ホークブリザード,,,,,,,,,,,,,,,,,,
144,魔人,超人道ルート⑨（Lv.80以上）,"悪い状態変化耐性-5%
みのまもり+10
ちから+15
みかわし率+1%",ギュメイ将軍,レジェンドホース,,,,,,,,,,,,,,,,,
145,魔人,超魔道ルート⑨（Lv.80以上）,"すべての状態異常耐性-2%
ちから+15
みのまもり+10
全属性耐性+1%
",モテモテ,,,,,,,,,,,,,,,,,,
146,魔人,超人道ルート⑩（Lv.90以上）,"ちから+10
すばやさ+10
会心率+1%【バトマス】練度9以上で+1%
ガード率+1%",とろろ将軍,,,,,,,,,,,,,,,,,,
147,魔人,超魔道ルート⑩（Lv.90以上）,"ちから+10
さいだいMP+10
スキルの斬撃・体技ダメージ+1%【まもマス】練度9以上で+1%
みのまもり+10",ビックアイ,,,,,,,,,,,,,,,,,,
148,時渡りの剣士,最初の道（Lv.1以上）,"さいだいMP+10
すばやさ+10
ちから+15
さいだいHP+15",ゴースト,,,,,,,,,,,,,,,,,,
149,時渡りの剣士,巡行道ルート①（Lv.5以上）,"タイムループの発動率+10%
さいだいMP+10
すばやさ+10
すべての状態異常耐性+1%",げんじかぶと,,,,,,,,,,,,,,,,,,
150,時渡りの剣士,遡行道ルート①（Lv.5以上）,"時間泥棒の発動率+5%
会心率+1%
ちから+15
悪い状態変化耐性+1%",ポイズンリザード,,,,,,,,,,,,,,,,,,
151,時渡りの剣士,巡行道ルート②（Lv.10以上）,"タイムギフト
ちから+15
さいだいHP+15
ガード率+1%",うごくひょうぞう,,,,,,,,,,,,,,,,,,
152,時渡りの剣士,遡行道ルート②（Lv.10以上）,"タイムチャージ
さいだいMP+10
みのまもり+10
会心率+1%",トロピカルドラゴ,,,,,,,,,,,,,,,,,,
153,時渡りの剣士,巡行道ルート③（Lv.20以上）,"時間レベル上昇確率アップ
さいだいMP+10【バトマス】練度2以上で+10
悪い状態変化耐性+1%
会心率+1%",ダッシュラン,,,,,,,,,,,,,,,,,,
154,時渡りの剣士,遡行道ルート③（Lv.20以上）,"時間レベル下降確率ダウン
ちから+15【スパスタ】練度2以上で+10
すべての状態異常耐性+1%
スキルの斬撃・体技ダメージ+1%",ブラックベジター,,,,,,,,,,,,,,,,,,
155,時渡りの剣士,巡行道ルート④（Lv.30以上＆ダーマ試練）,"すてみ
さいだいHP+15
ちから+15
スキルの斬撃・体技ダメージ+1%",タイムマスター,,,,,,,,,,,,,,,,,,
156,時渡りの剣士,遡行道ルート④（Lv.30以上＆ダーマ試練）,"アストロン
みのまもり+10
スキルの斬撃・体技ダメージ+1%
会心率+1%",ソードイド,,,,,,,,,,,,,,,,,,
157,時渡りの剣士,巡行道ルート⑤（Lv.40以上）,"時間レベル上昇確率アップ
ちから+15
みのまもり+10
さいだいMP+10【バトマス】練度4以上で+10",グレイツェル(覚醒),ムドー,,,,,,,,,,,,,,,,,
158,時渡りの剣士,遡行道ルート⑤（Lv.40以上）,"時間レベル下降確率ダウン
さいだいHP+15
ちから+15
みのまもり+10【スパスタ】練度4以上で+10",バラモス,,,,,,,,,,,,,,,,,,
159,時渡りの剣士,巡行道ルート⑥（Lv.50以上）,"タイムループの発動率+15%
スキルの斬撃・体技ダメージ+1%
すばやさ+10【バトマス】練度6以上で+10
すべての状態異常成功率+10%",ヒュンケル(覚醒),グレイナル,,,,,,,,,,,,,,,,,
160,時渡りの剣士,遡行道ルート⑥（Lv.50以上）,"時間泥棒の発動率+5%
みのまもり+10
さいだいMP+10【スパスタ】練度6以上で+10
スキルの斬撃・体技ダメージ+1%",ブラッドナイト,マッスルガード(覚醒),グレイトドラゴン(覚醒),闇竜バルボロス,,,,,,,,,,,,,,,
161,時渡りの剣士,巡行道ルート⑦（Lv.60以上＆ダーマ試練）,"さいだいMP+10
会心率+1%
すばやさ+10【バトマス】練度8以上で+10
スキルの斬撃・体技ダメージ+1%",ビックアイ,ぬしさま,,,,,,,,,,,,,,,,,
162,時渡りの剣士,遡行道ルート⑦（Lv.60以上＆ダーマ試練）,"ちから+15
すばやさ+10
さいだいHP+15【スパスタ】練度8以上で+10
みかわし率+1%",魔兵タナト＆ヒプノス,,,,,,,,,,,,,,,,,,
163,時渡りの剣士,巡行道ルート⑧（Lv.70以上）,"みのまもり+10
ちから+15
みかわし率+1%
守備減耐性+5%",ヘルビースト,,,,,,,,,,,,,,,,,,
164,時渡りの剣士,遡行道ルート⑧（Lv.70以上）,"さいだいHP+15
会心率+1%
スキルの斬撃・体技ダメージ+1%
攻撃減耐性+5%",ホークマン,,,,,,,,,,,,,,,,,,
165,時渡りの剣士,巡行道ルート⑨（Lv.80以上）,"会心率+1%
スキルの斬撃・体技ダメージ+1%
さいだいMP+10
一部の状態変化成功率+10%",なし,,,,,,,,,,,,,,,,,,
166,時渡りの剣士,遡行道ルート⑨（Lv.80以上）,"さいだいHP+15
みのまもり+10
ちから+15
ガード率+1%",なし,,,,,,,,,,,,,,,,,,
167,時渡りの剣士,巡行道ルート⑩（Lv.90以上）,"さいだいMP+10
みかわし率+1%
ちから+15【バトマス】練度9以上で+10
会心率+1%",病魔パンデルム,,,,,,,,,,,,,,,,,,
168,時渡りの剣士,遡行道ルート⑩（Lv.90以上）,"さいだいHP+15
ちから+15
さいだいMP+10【スパスタ】練度9以上で+10
ガード率+1%
",ボーンファイター(覚醒),ヴァルハラー,,,,,,,,,,,,,,,,,
169,ニンジャ,最初の道（Lv.1以上）,"きようさ+15
さいだいHP+15
みのまもり+15
すばやさ+15",しましまキャット,キャットフライ,ビッグハット,プリズニャン,,,,,,,,,,,,,,,
170,ニンジャ,風道ルート①（Lv.5以上）,"影縫いの発動率+4%
きようさ+15
さいだいMP+10
すばやさ+10",オニオーン,スライムかがみもち,ねこまどう,みならいあくま,,,,,,,,,,,,,,,
171,ニンジャ,波道ルート①（Lv.5以上）,"威圧・強の発動率+10%
さいだいHP+20
ちから+10
さいだいMP+15",ホイミスライム,ドロヌーバ,どくイモムシ,,,,,,,,,,,,,,,,
172,ニンジャ,風道ルート②（Lv.10以上）,"空蟬の術
きようさ+15
すばやさ+20【レンジャ】練度2以上で+15
すべての状態異常成功率+10%",ブリザード,ホタテワラビー,シュプリンガー,アイアンナイト,,,,,,,,,,,,,,,
173,ニンジャ,波道ルート②（Lv.10以上）,"鬼殺し
みのまもり+20
さいだいHP+20【海賊】練度2以上で+15
悪い状態変化耐性+1%",さそりばち,モコモコじゅう,しのさそり,,,,,,,,,,,,,,,,
174,ニンジャ,風道ルート③（Lv.20以上）,"影縫いの発動率+3%
ちから+5
さいだいHP+5
すばやさ+10",ももいろ三姉妹,ドラゴスライム,,,,,,,,,,,,,,,,,
175,ニンジャ,波道ルート③（Lv.20以上）,"威圧・強の発動率+10%
ちから+15
スキルの斬撃・体技ダメージ+2%
さいだいMP+15",シールドオーガ,じごくのドアボーイ,カフェまじん,,,,,,,,,,,,,,,,
176,ニンジャ,風道ルート④（Lv.30以上＆ダーマ試練）,"影縫いの効果を1ターンにする
すばやさ+10
さいだいMP+10【レンジャ】練度4以上で+15
きようさ+15",あやしいかげ,はしりとかげ,,,,,,,,,,,,,,,,,
177,ニンジャ,波道ルート④（Lv.30以上＆ダーマ試練）,"大海の浪漫
威圧・強の発動率+15%
スキルの斬撃・体技ダメージ+3%
ちから+15【海賊】練度4以上で+10",シャドー,シャドーサタン,シャドーノーブル,,,,,,,,,,,,,,,,
178,ニンジャ,風道ルート⑤（Lv.40以上）,"フバーハ
ブレスダメージ+1%
すばやさ+15
きようさ+15【レンジャ】練度6以上で+15",キャタピラー,,,,,,,,,,,,,,,,,,
179,ニンジャ,波道ルート⑤（Lv.40以上）,"だいぼうぎょ
威圧状態の相手へのダメージ+15%
さいだいHP+20
すばやさ+20",マドハンド,フランケンゴーレム,,,,,,,,,,,,,,,,,
180,ニンジャ,風道ルート⑥（Lv.50以上）,"影縫いの発動率+3%
さいだいMP+10
混乱耐性+3%
みかわし率+1%",ゴーレム,,,,,,,,,,,,,,,,,,
181,ニンジャ,波道ルート⑥（Lv.50以上）,"威圧・強の発動率+10%
みのまもり+20【海賊】練度6以上で+10
ちから+15
すばやさ+20",ベビーマジシャン,,,,,,,,,,,,,,,,,,
182,ニンジャ,風道ルート⑦（Lv.60以上＆ダーマ試練）,"ブレスダメージ+1%
きようさ+15
すばやさ+15【レンジャ】練度8以上で+15
さいだいMP+10",じごくのつかい,じごくのつかい(覚醒),モリーサタン,,,,,,,,,,,,,,,,
183,ニンジャ,波道ルート⑦（Lv.60以上＆ダーマ試練）,"スキルの斬撃・体技ダメージ+3%
さいだいHP+15
さいだいMP+15【海賊】練度8以上で+15
ちから+5",メタルつむり,メタルキング,スラマシンZ,ホワイトキング,,,,,,,,,,,,,,,
184,ニンジャ,風道ルート⑧（Lv.70以上）,"影縫い成功時に味方全体のMPを2％回復
ちから+5
きようさ+15
1%の確率で自分が受けたブレスを敵に跳ね返す
",イボイノス,大怪像ガドンゴ,マンドリル,大猿,大猿(覚醒),孫悟空,竜神王,ヘルパイレーツ,闇の覇者蒼き竜王(覚醒),ラーヴァドラゴン,アルス,アルス(覚醒),,,,,,,
185,ニンジャ,波道ルート⑧（Lv.70以上）,"威圧状態の相手へのダメージ+9%
みのまもり+10
さいだいHP+10
ちから+10",アッシュリザード,とさかへび,,,,,,,,,,,,,,,,,
186,ニンジャ,風道ルート⑨（Lv.80以上）,"		
ブレスダメージ+1%
すばやさ+10
さいだいMP+10
きようさ+15",ハロウィンドラキー,,,,,,,,,,,,,,,,,,
187,ニンジャ,波道ルート⑨（Lv.80以上）,"スキルの斬撃・体技ダメージ+2%
さいだいHP+10
みのまもり+15
すべての状態異常耐性+1%",サラマンダー,竜神王,リザードファッツ,ラーヴァドラゴン,ガメゴンレジェンド,,,,,,,,,,,,,,
188,ニンジャ,風道ルート⑩（Lv.90以上）,"きようさ+15
ちから+5
すばやさ+15【レンジャ】練度9以上で+15
みかわし率+1%",レッドオーガ,,,,,,,,,,,,,,,,,,
189,ニンジャ,波道ルート⑩（Lv.90以上）,"威圧状態の相手へのダメージ+6%
さいだいHP+10
みのまもり+10【海賊】練度9以上で+10
悪い状態変化耐性+1%
",あくまの書,キングミミック,,,,,,,,,,,,,,,,,
190,大魔道士,最初の道（Lv.1以上）,"さいだいHP+15
すばやさ+15
こうげき魔力+15
全属性ダメージ+2％",ドラキー,おおくちばし,キメラ,,,,,,,,,,,,,,,,
191,大魔道士,魔力道ルート①（Lv.5以上）,"魔人のやまびこの攻撃呪文威力アップ+10％
魔人のやまびこの攻撃呪文威力アップ+5％
こうげき魔力+15
すばやさ+10",しのどれい,てつのさそり,くさった死体,ひとくいサーベル,しびれくらげ,,,,,,,,,,,,,,
192,大魔道士,理力道ルート①（Lv.5以上）,"フォースブレイク1段階目成功率+10％
フォースブレイク1段階目成功率+5％
さいだいMP30
すべての状態異常成功率+5％",キースドラゴン,つかいま,ドラキーマ,ベロニャーゴ,ハンターフライ,,,,,,,,,,,,,,
193,大魔道士,魔力道ルート②（Lv.10以上）,"すばやさ+15
こうげき魔力+15
さいだいHP+15【賢者】練度2以上で+15
こうげき魔力+10
",ドロルメイジ,マジカルハット,ミニデーモン,シルエト,クリスタルハンド,,,,,,,,,,,,,,
194,大魔道士,理力道ルート②（Lv.10以上）,"まれに使用スキルの消費MPの50％回復
ぶきみなひかり
みのまもり+30【魔法戦士】練度2以上で+10
じゅもんダメージ+3％",ハロウィンリカント,メトロゴースト,メイジキメラ,メガザルロック,,,,,,,,,,,,,,,
195,大魔道士,魔力道ルート③（Lv.20以上）,"攻撃呪文の魔人のやまびこ発動率+3％
攻撃呪文の魔人のやまびこ発動率+2％
じゅもんダメージ+2％
こうげき魔力+15【賢者】練度4以上で+10",サイおとこ,リトルライバーン,ガーゴイル,コーヒーライオン,テンツク,レッドパンサー,コーヒーライオン(覚醒),,,,,,,,,,,,
196,大魔道士,理力道ルート③（Lv.20以上）,"フォースブレイク2段階目成功率+5％
フォースブレイク2段階目成功率+3％
ちから+36
全属性ダメージ+5％",じごくのハサミ,レッドアーチャー,だいおうキッズ,あくあ神官,パンドラボックス,かじゅうナイト,,,,,,,,,,,,,
197,大魔道士,魔力道ルート④（Lv.30以上＆ダーマ試練）,"魔響の詠唱
じゅもんダメージ+2％
封印耐性+5％
じゅもんダメージ+1％",ダークキング,ヒョウモンダーク,ダークシルフ,メタルダーク,ダークトロル,,,,,,,,,,,,,,
198,大魔道士,理力道ルート④（Lv.30以上＆ダーマ試練）,"フォースバースト
さいだいMP+30【魔法戦士】練度4以上で+15
さいだいHP+20
暴走魔法陣",キマイラロード,メーダロード,ガメゴンロード,サウルスロード,,,,,,,,,,,,,,,
199,大魔道士,魔力道ルート⑤（Lv.40以上）,"魔人のやまびこの攻撃呪文威力アップ+10％
魔人のやまびこの攻撃呪文威力アップ+5％
こうげき魔力+20【賢者】練度6以上で+10
魔力の暴走率+1％",もみじこぞう,ズッキーニャ,,,,,,,,,,,,,,,,,
200,大魔道士,理力道ルート⑤（Lv.40以上）,"フォースブレイク1段階目成功率+10％
フォースブレイク1段階目成功率+5％
こうげき魔力+20
フォースブレイク最大ターン1ターン",トロルキング,ゴールデンタイタス,てっきゅうまじん,ウィングデビル,メガトンケイル,あかおにまる,カースビエル,,,,,,,,,,,,
201,大魔道士,魔力道ルート⑥（Lv.50以上）,"攻撃呪文の魔人のやまびこ発動率+3％
攻撃呪文の魔人のやまびこ発動率+2％
怯え耐性+3％
3％の確率で自分が受けた呪文を敵に跳ね返す",グリザード,グリザード(覚醒1),グリザード(覚醒2),竜王(覚醒),ヤムチャ,神威兵アネモーズ,獣威兵アネモーズ(覚醒),水の精霊,,,,,,,,,,,
202,大魔道士,理力道ルート⑥（Lv.50以上）,"フォースブレイク2段階目成功率+4％
フォースブレイク2段階目成功率+3％
さいだいHP40【魔法戦士】練度6以上で+15
全属性耐性+1％",メタルスライム,ウォーキング・九州,ウォーキング・北海道,ウォーキング・東北,ウォーキング【ロト】・中部,,,,,,,,,,,,,,
203,大魔道士,魔力道ルート⑦（Lv.60以上＆ダーマ試練）,"じゅもんダメージ+2％
こうげき魔力+10
さいだいMP+15【賢者】練度8以上で+15
すばやさ+10",あばれこまいぬ,,,,,,,,,,,,,,,,,,
204,大魔道士,理力道ルート⑦（Lv.60以上＆ダーマ試練）,"ギラ属性ダメージ+3％
デイン属性ダメージ+3％
さいだいHP+15【魔法戦士】練度8以上で+15
こうげき魔力+5",ヒイラギどうじ,ヒイラギどうじ(覚醒),おばけキノコ,,,,,,,,,,,,,,,,
205,大魔道士,魔力道ルート⑧（Lv.70以上）,"ドルマ属性ダメージ+3%
バギ属性ダメージ+3%
すばやさ+5
封印耐性+2%",魔剣神レパルド,ギガパレス,ギガパレス(覚醒),アルゴングレート,,,,,,,,,,,,,,,
206,大魔道士,理力道ルート⑧（Lv.70以上）,"全属性ダメージ+2%
みのまもり+15
すばやさ+5
ちから+5",こうていタップ,,,,,,,,,,,,,,,,,,
207,大魔道士,魔力道ルート⑨（Lv.80以上）,"じゅもんダメージ+2%
こうげき魔力+10
さいだいHP+10
麻痺耐性+3%",マーマンダイン,,,,,,,,,,,,,,,,,,
208,大魔道士,理力道ルート⑨（Lv.80以上）,"イオ属性ダメージ+3%
ジバリア属性ダメージ+3%
さいだいMP+15
じゅもん耐性+1%",メイデンドール,てまねきリング,セイレーンゴースト,,,,,,,,,,,,,,,,
209,大魔道士,魔力道ルート⑩（Lv.90以上）,"メラ属性ダメージ+3%
ザバ属性ダメージ+3%
こうげき魔力+10【賢者】練度9以上で+10
さいだいMP+15",キングツンドラキー,ホワイトキング,,,,,,,,,,,,,,,,,
210,大魔道士,理力道ルート⑩（Lv.90以上）,"全属性ダメージ+2%
こうげき魔力+5
魔力の暴走率+1%
みのまもり+15【魔法戦士】練度9以上で+10",レッドイーター,,,,,,,,,,,,,,,,,,
